Champion Name, Champion Key, Most Frequent Build, Most Frequent Winning Build
Mordekaiser, 82, [u"Sorcerer's Shoes"; u"Rabadon's Deathcap"; u"Rylai's Crystal Scepter"; u"Liandry's Torment"; u'Will of the Ancients'; u"Zhonya's Hourglass"; u'Warding Totem (Trinket)'], [u"Sorcerer's Shoes"; u"Rabadon's Deathcap"; u"Rylai's Crystal Scepter"; u'Will of the Ancients'; u"Zhonya's Hourglass"; u"Luden's Echo"; u'Warding Totem (Trinket)']
Yorick, 83, [u'Muramana'; u'Spirit Visage'; u'Trinity Force'; u'Frozen Heart'; u"Mercury's Treads"; u'Warding Totem (Trinket)'; u'Essence Reaver'], [u'Muramana'; u'Spirit Visage'; u'Trinity Force'; u'Frozen Heart'; u"Mercury's Treads"; u'Warding Totem (Trinket)'; u'Essence Reaver']
Akali, 84, [u"Sorcerer's Shoes"; u"Rabadon's Deathcap"; u'Lich Bane'; u'Void Staff'; u'Hextech Gunblade'; u"Zhonya's Hourglass"; u'Warding Totem (Trinket)'], [u"Sorcerer's Shoes"; u"Rabadon's Deathcap"; u'Lich Bane'; u"Rylai's Crystal Scepter"; u'Hextech Gunblade'; u"Zhonya's Hourglass"; u'Warding Totem (Trinket)']
Kennen, 85, [u'Amplifying Tome'; u"Doran's Blade"; u'Health Potion'; u"Sorcerer's Shoes"; u'Haunting Guise'; u"Zhonya's Hourglass"; u'Warding Totem (Trinket)'], [u'Blasting Wand'; u"Sorcerer's Shoes"; u"Rabadon's Deathcap"; u'Void Staff'; u"Liandry's Torment"; u"Zhonya's Hourglass"; u'Warding Totem (Trinket)']
Garen, 86, [u'Boots of Swiftness'; u'Spirit Visage'; u'Sunfire Cape'; u'Thornmail'; u"Warmog's Armor"; u"Randuin's Omen"; u'Warding Totem (Trinket)'], [u'Boots of Swiftness'; u'Spirit Visage'; u'Sunfire Cape'; u'The Black Cleaver'; u'Thornmail'; u"Warmog's Armor"; u'Warding Totem (Trinket)']
Leona, 89, [u'Ruby Crystal'; u'Sightstone'; u'Sunfire Cape'; u"Mercury's Treads"; u"Spectre's Cowl"; u'Sweeping Lens (Trinket)'; u'Face of the Mountain'], [u'Ruby Crystal'; u'Sightstone'; u'Sunfire Cape'; u"Mercury's Treads"; u"Spectre's Cowl"; u'Sweeping Lens (Trinket)'; u'Face of the Mountain']
Malzahar, 90, [u"Sorcerer's Shoes"; u'Rod of Ages'; u"Rabadon's Deathcap"; u'Void Staff'; u"Zhonya's Hourglass"; u"Luden's Echo"; u'Warding Totem (Trinket)'], [u"Sorcerer's Shoes"; u'Rod of Ages'; u"Rabadon's Deathcap"; u'Void Staff'; u"Zhonya's Hourglass"; u"Luden's Echo"; u'Warding Totem (Trinket)']
Talon, 91, [u'Pickaxe'; u'B. F. Sword'; u'Last Whisper'; u'Ravenous Hydra (Melee Only)'; u'Boots of Mobility'; u"Youmuu's Ghostblade"; u'Warding Totem (Trinket)'], [u'Infinity Edge'; u'Last Whisper'; u'The Black Cleaver'; u'Ravenous Hydra (Melee Only)'; u'Boots of Mobility'; u"Youmuu's Ghostblade"; u'Warding Totem (Trinket)']
Riven, 92, [u'Last Whisper'; u'The Black Cleaver'; u'The Bloodthirster'; u'Ravenous Hydra (Melee Only)'; u"Youmuu's Ghostblade"; u'Ionian Boots of Lucidity'; u'Warding Totem (Trinket)'], [u'Last Whisper'; u'The Black Cleaver'; u'The Bloodthirster'; u'Ravenous Hydra (Melee Only)'; u"Youmuu's Ghostblade"; u'Ionian Boots of Lucidity'; u'Warding Totem (Trinket)']
KogMaw, 96, [u"Doran's Blade"; u"Berserker's Greaves"; u'Infinity Edge'; u'Last Whisper'; u'Trinity Force'; u'Blade of the Ruined King'; u'Warding Totem (Trinket)'], [u"Doran's Blade"; u"Berserker's Greaves"; u'Infinity Edge'; u'Last Whisper'; u'Trinity Force'; u'Blade of the Ruined King'; u'Warding Totem (Trinket)']
Shen, 98, [u"Doran's Shield"; u'Ninja Tabi'; u'Spirit Visage'; u'Sunfire Cape'; u'Thornmail'; u"Randuin's Omen"; u'Warding Totem (Trinket)'], [u"Doran's Shield"; u'Ninja Tabi'; u'Spirit Visage'; u'Sunfire Cape'; u'Thornmail'; u"Randuin's Omen"; u'Warding Totem (Trinket)']
Lux, 99, [u"Sorcerer's Shoes"; u"Rabadon's Deathcap"; u'Void Staff'; u"Zhonya's Hourglass"; u'Morellonomicon'; u"Luden's Echo"; u'Warding Totem (Trinket)'], [u"Sorcerer's Shoes"; u"Rabadon's Deathcap"; u'Void Staff'; u"Zhonya's Hourglass"; u'Morellonomicon'; u"Luden's Echo"; u'Warding Totem (Trinket)']
Xerath, 101, [u"Sorcerer's Shoes"; u"Rabadon's Deathcap"; u'Void Staff'; u"Zhonya's Hourglass"; u'Morellonomicon'; u"Luden's Echo"; u'Warding Totem (Trinket)'], [u"Sorcerer's Shoes"; u"Rabadon's Deathcap"; u'Void Staff'; u"Zhonya's Hourglass"; u'Morellonomicon'; u"Luden's Echo"; u'Warding Totem (Trinket)']
Shyvana, 102, [u'Ninja Tabi'; u'Spirit Visage'; u'Sunfire Cape'; u'Thornmail'; u"Randuin's Omen"; u'Blade of the Ruined King'; u'Warding Totem (Trinket)'], [u'Spirit Visage'; u'Sunfire Cape'; u'Thornmail'; u"Mercury's Treads"; u"Randuin's Omen"; u'Blade of the Ruined King'; u'Warding Totem (Trinket)']
Ahri, 103, [u"Sorcerer's Shoes"; u"Rabadon's Deathcap"; u'Void Staff'; u"Zhonya's Hourglass"; u'Morellonomicon'; u"Luden's Echo"; u'Warding Totem (Trinket)'], [u"Sorcerer's Shoes"; u"Rabadon's Deathcap"; u'Void Staff'; u"Zhonya's Hourglass"; u'Morellonomicon'; u"Luden's Echo"; u'Warding Totem (Trinket)']
Graves, 104, [u'B. F. Sword'; u'Vampiric Scepter'; u"Doran's Blade"; u"Berserker's Greaves"; u'Infinity Edge'; u'Statikk Shiv'; u'Warding Totem (Trinket)'], [u"Berserker's Greaves"; u'Guardian Angel'; u'Infinity Edge'; u'Last Whisper'; u'The Bloodthirster'; u'Statikk Shiv'; u'Warding Totem (Trinket)']
Fizz, 105, [u"Sorcerer's Shoes"; u"Rabadon's Deathcap"; u'Lich Bane'; u'Void Staff'; u"Zhonya's Hourglass"; u"Luden's Echo"; u'Warding Totem (Trinket)'], [u"Sorcerer's Shoes"; u"Rabadon's Deathcap"; u'Lich Bane'; u'Void Staff'; u"Zhonya's Hourglass"; u"Luden's Echo"; u'Warding Totem (Trinket)']
Volibear, 106, [u'Spirit Visage'; u'Sunfire Cape'; u'Thornmail'; u"Warmog's Armor"; u"Mercury's Treads"; u"Randuin's Omen"; u'Warding Totem (Trinket)'], [u'Spirit Visage'; u'Sunfire Cape'; u'Thornmail'; u"Warmog's Armor"; u"Mercury's Treads"; u"Randuin's Omen"; u'Warding Totem (Trinket)']
Rengar, 107, [u'Long Sword'; u'Pickaxe'; u'Ravenous Hydra (Melee Only)'; u'Boots of Mobility'; u"Youmuu's Ghostblade"; u'Warding Totem (Trinket)'; u'Enchantment: Warrior'], [u'Infinity Edge'; u'Last Whisper'; u'Phantom Dancer'; u'Ravenous Hydra (Melee Only)'; u"Youmuu's Ghostblade"; u'Ionian Boots of Lucidity'; u'Warding Totem (Trinket)']
Varus, 110, [u"Berserker's Greaves"; u'Infinity Edge'; u'Last Whisper'; u'The Bloodthirster'; u"Runaan's Hurricane (Ranged Only)"; u'Statikk Shiv'; u'Warding Totem (Trinket)'], [u"Berserker's Greaves"; u'Infinity Edge'; u'Last Whisper'; u'The Bloodthirster'; u"Runaan's Hurricane (Ranged Only)"; u'Statikk Shiv'; u'Warding Totem (Trinket)']
Nautilus, 111, [u'Vision Ward'; u'Sightstone'; u'Catalyst the Protector'; u'Boots of Mobility'; u'Sweeping Lens (Trinket)'; u'Face of the Mountain'; u'Crystalline Bracer'], [u'Sightstone'; u'Frozen Heart'; u'Boots of Mobility'; u'Locket of the Iron Solari'; u"Oracle's Lens (Trinket)"; u'Face of the Mountain'; u'Righteous Glory']
Viktor, 112, [u"Sorcerer's Shoes"; u"Rabadon's Deathcap"; u'Void Staff'; u"Zhonya's Hourglass"; u'Perfect Hex Core'; u"Luden's Echo"; u'Warding Totem (Trinket)'], [u"Sorcerer's Shoes"; u"Rabadon's Deathcap"; u'Void Staff'; u"Zhonya's Hourglass"; u'Perfect Hex Core'; u"Luden's Echo"; u'Warding Totem (Trinket)']
Sejuani, 113, [u"Warmog's Armor"; u"Banshee's Veil"; u'Frozen Heart'; u'Boots of Mobility'; u"Randuin's Omen"; u'Warding Totem (Trinket)'; u'Enchantment: Cinderhulk'], [u'Thornmail'; u"Warmog's Armor"; u'Frozen Heart'; u'Boots of Mobility'; u"Randuin's Omen"; u'Warding Totem (Trinket)'; u'Enchantment: Cinderhulk']
Fiora, 114, [u"Berserker's Greaves"; u'Infinity Edge'; u'Last Whisper'; u'The Bloodthirster'; u'Ravenous Hydra (Melee Only)'; u"Youmuu's Ghostblade"; u'Warding Totem (Trinket)'], [u"Berserker's Greaves"; u'Infinity Edge'; u'Last Whisper'; u'The Bloodthirster'; u'Ravenous Hydra (Melee Only)'; u"Youmuu's Ghostblade"; u'Warding Totem (Trinket)']
Ziggs, 115, [u"Sorcerer's Shoes"; u"Rabadon's Deathcap"; u'Void Staff'; u"Zhonya's Hourglass"; u"Athene's Unholy Grail"; u"Luden's Echo"; u'Warding Totem (Trinket)'], [u"Sorcerer's Shoes"; u"Rabadon's Deathcap"; u'Void Staff'; u"Zhonya's Hourglass"; u"Athene's Unholy Grail"; u"Luden's Echo"; u'Warding Totem (Trinket)']
Lulu, 117, [u'Sightstone'; u'Catalyst the Protector'; u"Frost Queen's Claim"; u'Boots of Mobility'; u"Mikael's Crucible"; u'Sweeping Lens (Trinket)'; u'Crystalline Bracer'], [u'Sightstone'; u'Catalyst the Protector'; u"Frost Queen's Claim"; u'Boots of Mobility'; u"Mikael's Crucible"; u'Sweeping Lens (Trinket)'; u'Crystalline Bracer']
Draven, 119, [u"Berserker's Greaves"; u'Guardian Angel'; u'Infinity Edge'; u'Last Whisper'; u'The Bloodthirster'; u'Statikk Shiv'; u'Warding Totem (Trinket)'], [u"Berserker's Greaves"; u'Guardian Angel'; u'Infinity Edge'; u'Last Whisper'; u'The Bloodthirster'; u'Statikk Shiv'; u'Warding Totem (Trinket)']
Hecarim, 120, [u'Crystalline Flask'; u'Ninja Tabi'; u'Kindlegem'; u'Trinity Force'; u'Frozen Heart'; u"Spectre's Cowl"; u'Warding Totem (Trinket)'], [u'Crystalline Flask'; u'Ninja Tabi'; u'Kindlegem'; u'Trinity Force'; u'Frozen Heart'; u"Spectre's Cowl"; u'Warding Totem (Trinket)']
Khazix, 121, [u'Guardian Angel'; u'Last Whisper'; u'The Black Cleaver'; u'Ravenous Hydra (Melee Only)'; u'Boots of Mobility'; u'Warding Totem (Trinket)'; u'Enchantment: Warrior'], [u'Guardian Angel'; u'Last Whisper'; u'The Black Cleaver'; u'Ravenous Hydra (Melee Only)'; u'Boots of Mobility'; u'Warding Totem (Trinket)'; u'Enchantment: Warrior']
Darius, 122, [u'Sunfire Cape'; u'Ravenous Hydra (Melee Only)'; u'Thornmail'; u"Banshee's Veil"; u"Mercury's Treads"; u"Randuin's Omen"; u'Warding Totem (Trinket)'], [u'Sunfire Cape'; u'Ravenous Hydra (Melee Only)'; u'Thornmail'; u"Banshee's Veil"; u"Mercury's Treads"; u"Randuin's Omen"; u'Warding Totem (Trinket)']
Jayce, 126, [u'Guardian Angel'; u'Last Whisper'; u'Muramana'; u'The Black Cleaver'; u'The Bloodthirster'; u'Ionian Boots of Lucidity'; u'Greater Stealth Totem (Trinket)'], [u'B. F. Sword'; u'Vampiric Scepter'; u'Last Whisper'; u'Muramana'; u'The Black Cleaver'; u'Ionian Boots of Lucidity'; u'Warding Totem (Trinket)']
Lissandra, 127, [u"Sorcerer's Shoes"; u'Rod of Ages'; u"Rabadon's Deathcap"; u'Void Staff'; u"Zhonya's Hourglass"; u"Luden's Echo"; u'Warding Totem (Trinket)'], [u"Sorcerer's Shoes"; u'Rod of Ages'; u"Rabadon's Deathcap"; u'Void Staff'; u"Zhonya's Hourglass"; u"Luden's Echo"; u'Warding Totem (Trinket)']
Diana, 131, [u"Sorcerer's Shoes"; u"Rabadon's Deathcap"; u'Lich Bane'; u'Void Staff'; u"Zhonya's Hourglass"; u"Luden's Echo"; u'Warding Totem (Trinket)'], [u"Sorcerer's Shoes"; u"Rabadon's Deathcap"; u'Lich Bane'; u'Void Staff'; u"Zhonya's Hourglass"; u"Luden's Echo"; u'Warding Totem (Trinket)']
Quinn, 133, [u"Berserker's Greaves"; u'Guardian Angel'; u'Infinity Edge'; u'Last Whisper'; u'The Bloodthirster'; u'Statikk Shiv'; u'Warding Totem (Trinket)'], [u"Berserker's Greaves"; u'Infinity Edge'; u'Last Whisper'; u'The Bloodthirster'; u'Statikk Shiv'; u"Youmuu's Ghostblade"; u'Warding Totem (Trinket)']
Syndra, 134, [u"Sorcerer's Shoes"; u"Rabadon's Deathcap"; u'Void Staff'; u"Zhonya's Hourglass"; u"Athene's Unholy Grail"; u"Luden's Echo"; u'Warding Totem (Trinket)'], [u"Sorcerer's Shoes"; u"Rabadon's Deathcap"; u'Void Staff'; u"Zhonya's Hourglass"; u"Athene's Unholy Grail"; u"Luden's Echo"; u'Warding Totem (Trinket)']
Zyra, 143, [u"Sorcerer's Shoes"; u"Rabadon's Deathcap"; u'Void Staff'; u"Liandry's Torment"; u"Zhonya's Hourglass"; u"Luden's Echo"; u'Warding Totem (Trinket)'], [u"Sorcerer's Shoes"; u"Rabadon's Deathcap"; u'Void Staff'; u"Liandry's Torment"; u"Zhonya's Hourglass"; u"Luden's Echo"; u'Warding Totem (Trinket)']
Gnar, 150, [u"Giant's Belt"; u"Doran's Blade"; u'Sunfire Cape'; u"Warden's Mail"; u"Mercury's Treads"; u'Blade of the Ruined King'; u'Warding Totem (Trinket)'], [u"Doran's Blade"; u'Kindlegem'; u'Sunfire Cape'; u"Mercury's Treads"; u"Randuin's Omen"; u"Spectre's Cowl"; u'Warding Totem (Trinket)']
Zac, 154, [u'Spirit Visage'; u'Thornmail'; u"Warmog's Armor"; u"Mercury's Treads"; u"Randuin's Omen"; u"Oracle's Lens (Trinket)"; u'Enchantment: Cinderhulk'], [u'Spirit Visage'; u'Thornmail'; u"Warmog's Armor"; u"Mercury's Treads"; u"Randuin's Omen"; u'Warding Totem (Trinket)'; u'Enchantment: Cinderhulk']
Yasuo, 157, [u"Berserker's Greaves"; u'Infinity Edge'; u'Last Whisper'; u'The Bloodthirster'; u'Statikk Shiv'; u'Blade of the Ruined King'; u'Warding Totem (Trinket)'], [u"Berserker's Greaves"; u'Infinity Edge'; u'Last Whisper'; u'The Bloodthirster'; u'Statikk Shiv'; u'Blade of the Ruined King'; u'Warding Totem (Trinket)']
Velkoz, 161, [u"Sorcerer's Shoes"; u"Rabadon's Deathcap"; u'Void Staff'; u"Zhonya's Hourglass"; u'Morellonomicon'; u"Luden's Echo"; u'Warding Totem (Trinket)'], [u"Sorcerer's Shoes"; u"Rabadon's Deathcap"; u'Void Staff'; u"Zhonya's Hourglass"; u'Morellonomicon'; u"Luden's Echo"; u'Warding Totem (Trinket)']
Braum, 201, [u'Ruby Crystal'; u'Null-Magic Mantle'; u'Sightstone'; u'Boots of Mobility'; u"Randuin's Omen"; u'Sweeping Lens (Trinket)'; u'Face of the Mountain'], [u'Ruby Crystal'; u'Null-Magic Mantle'; u'Sightstone'; u'Boots of Mobility'; u"Randuin's Omen"; u'Sweeping Lens (Trinket)'; u'Face of the Mountain']
Jinx, 222, [u"Berserker's Greaves"; u'Infinity Edge'; u'Last Whisper'; u'Phantom Dancer'; u'The Bloodthirster'; u'Statikk Shiv'; u'Warding Totem (Trinket)'], [u"Berserker's Greaves"; u'Infinity Edge'; u'Last Whisper'; u'Phantom Dancer'; u'The Bloodthirster'; u'Statikk Shiv'; u'Warding Totem (Trinket)']
Lucian, 236, [u'B. F. Sword'; u'Vampiric Scepter'; u"Doran's Blade"; u"Berserker's Greaves"; u'Infinity Edge'; u'Statikk Shiv'; u'Warding Totem (Trinket)'], [u"Berserker's Greaves"; u'Guardian Angel'; u'Infinity Edge'; u'Last Whisper'; u'The Bloodthirster'; u'Statikk Shiv'; u'Warding Totem (Trinket)']
Zed, 238, [u'Last Whisper'; u'The Black Cleaver'; u'The Bloodthirster'; u"Mercury's Treads"; u"Youmuu's Ghostblade"; u'Blade of the Ruined King'; u'Warding Totem (Trinket)'], [u'Last Whisper'; u'The Black Cleaver'; u'The Bloodthirster'; u"Mercury's Treads"; u"Youmuu's Ghostblade"; u'Blade of the Ruined King'; u'Warding Totem (Trinket)']
Ekko, 245, [u"Sorcerer's Shoes"; u"Rabadon's Deathcap"; u'Lich Bane'; u'Void Staff'; u"Zhonya's Hourglass"; u"Luden's Echo"; u'Warding Totem (Trinket)'], [u"Sorcerer's Shoes"; u"Rabadon's Deathcap"; u'Lich Bane'; u'Void Staff'; u"Zhonya's Hourglass"; u"Luden's Echo"; u'Warding Totem (Trinket)']
Vi, 254, [u'Ruby Crystal'; u'Ninja Tabi'; u'Trinity Force'; u"Randuin's Omen"; u"Spectre's Cowl"; u'Warding Totem (Trinket)'; u'Enchantment: Warrior'], [u'Ruby Crystal'; u'Ninja Tabi'; u'Trinity Force'; u"Randuin's Omen"; u"Spectre's Cowl"; u'Warding Totem (Trinket)'; u'Enchantment: Warrior']
Aatrox, 266, [u"Doran's Blade"; u'Spirit Visage'; u'Ravenous Hydra (Melee Only)'; u"Mercury's Treads"; u"Randuin's Omen"; u'Blade of the Ruined King'; u'Warding Totem (Trinket)'], [u"Doran's Blade"; u'Spirit Visage'; u'Ravenous Hydra (Melee Only)'; u"Mercury's Treads"; u"Randuin's Omen"; u'Blade of the Ruined King'; u'Warding Totem (Trinket)']
Nami, 267, [u'Ruby Sightstone'; u"Frost Queen's Claim"; u'Frozen Heart'; u'Boots of Mobility'; u'Locket of the Iron Solari'; u"Mikael's Crucible"; u"Oracle's Lens (Trinket)"], [u'Ruby Sightstone'; u"Frost Queen's Claim"; u'Frozen Heart'; u'Boots of Mobility'; u'Locket of the Iron Solari'; u"Mikael's Crucible"; u"Oracle's Lens (Trinket)"]
Azir, 268, [u"Sorcerer's Shoes"; u"Rabadon's Deathcap"; u'Void Staff'; u"Zhonya's Hourglass"; u'Morellonomicon'; u"Luden's Echo"; u'Warding Totem (Trinket)'], [u"Sorcerer's Shoes"; u"Rabadon's Deathcap"; u'Void Staff'; u"Zhonya's Hourglass"; u'Morellonomicon'; u"Luden's Echo"; u'Warding Totem (Trinket)']
Thresh, 412, [u"Giant's Belt"; u'Sightstone'; u"Warden's Mail"; u'Boots of Mobility'; u'Locket of the Iron Solari'; u'Sweeping Lens (Trinket)'; u'Face of the Mountain'], [u"Giant's Belt"; u'Sightstone'; u"Warden's Mail"; u'Boots of Mobility'; u'Locket of the Iron Solari'; u'Sweeping Lens (Trinket)'; u'Face of the Mountain']
RekSai, 421, [u'Spirit Visage'; u'The Black Cleaver'; u'Thornmail'; u"Mercury's Treads"; u"Randuin's Omen"; u"Oracle's Lens (Trinket)"; u'Enchantment: Cinderhulk'], [u'Spirit Visage'; u'The Black Cleaver'; u'Thornmail'; u"Mercury's Treads"; u"Randuin's Omen"; u"Oracle's Lens (Trinket)"; u'Enchantment: Cinderhulk']
Kalista, 429, [u"Berserker's Greaves"; u'Last Whisper'; u'The Bloodthirster'; u"Runaan's Hurricane (Ranged Only)"; u'Quicksilver Sash'; u'Blade of the Ruined King'; u'Scrying Orb (Trinket)'], [u'Pickaxe'; u"Doran's Blade"; u"Berserker's Greaves"; u'The Bloodthirster'; u"Runaan's Hurricane (Ranged Only)"; u'Blade of the Ruined King'; u'Warding Totem (Trinket)']
Bard, 432, [u'Sightstone'; u"Frost Queen's Claim"; u'Frozen Heart'; u'Boots of Mobility'; u'Locket of the Iron Solari'; u"Spectre's Cowl"; u'Sweeping Lens (Trinket)'], [u"Giant's Belt"; u'Sightstone'; u'Talisman of Ascension'; u"Warden's Mail"; u'Boots of Mobility'; u'Locket of the Iron Solari'; u"Oracle's Lens (Trinket)"]
